exercise_id,lesson_id,vocabulary_id,question,current_options,current_answer,vocabulary_word,vocabulary_meaning,expected_correct_option,status,confidence,reason
"6a82e242e79b4bac53b1554a","6a82dff7eb76f67f6232a7c1","6a82e139e79b4bac53b15539","""der Vater"" nghĩa là gì?","[{""id"":""A"",""text"":""mẹ""},{""id"":""B"",""text"":""bố""},{""id"":""C"",""text"":""anh trai""},{""id"":""D"",""text"":""chị gái""}]","{""type"":""single"",""value"":""B""}","der Vater","bố","der Vater","REVIEW_REQUIRED","HIGH","Vocabulary word ""der Vater"" not found in options: [""mẹ"",""bố"",""anh trai"",""chị gái""]"
"ce2cfe83a06eb83064c1994a","efb72ad511285965f348bfde","69cf8a5254ac00d7f7458642","Từ tiếng Đức nào có nghĩa là “Công an, cảnh sát”?","[""der Polizist"",""die Firma"",""die Kellnerin"",""der Friseur""]","{""correct_option"":""der Polizist"",""explanation"":""der Polizist = Công an, cảnh sát""}","der Polizist","Công an, cảnh sát","der Polizist","VALID","HIGH","Already adheres to canonical schema"
"3e397066480f94536d3c1ab9","741e1cc01783b0eb83ed3a7b","69cf8a5254ac00d7f7458645","Từ tiếng Đức nào có nghĩa là “Trường đại học”?","[""die Hausaufgabe"",""die Universität"",""der Kurs"",""die Studentin""]","{""correct_option"":""die Universität"",""explanation"":""die Universität = Trường đại học""}","die Universität","Trường đại học","die Universität","VALID","HIGH","Already adheres to canonical schema"
"9625a2e9df1fba83e43688ec","741e1cc01783b0eb83ed3a7b","69cf8a5254ac00d7f7458775","Từ tiếng Đức nào có nghĩa là “Bài tập về nhà”?","[""die Hausaufgabe"",""die Studentin"",""die Universität"",""der Lehrer""]","{""correct_option"":""die Hausaufgabe"",""explanation"":""die Hausaufgabe = Bài tập về nhà""}","die Hausaufgabe","Bài tập về nhà","die Hausaufgabe","VALID","HIGH","Already adheres to canonical schema"
"19ea11d71854d6da77699007","0236a77d8b83ed31df0f743a","69cf8a5254ac00d7f7458775","Từ tiếng Đức nào có nghĩa là “Bài tập về nhà”?","[""die Studentin"",""die Hausaufgabe"",""der Test"",""der Kurs""]","{""correct_option"":""die Hausaufgabe"",""explanation"":""die Hausaufgabe = Bài tập về nhà""}","die Hausaufgabe","Bài tập về nhà","die Hausaufgabe","VALID","HIGH","Already adheres to canonical schema"
"6b8994bfea32640ade8127b9","76c62f3ebccf13689fb5725d","69cf8a5254ac00d7f74585c2","Từ tiếng Đức nào có nghĩa là “sinh sống, ở”?","[""die Tür, -en"",""der Stuhl, -ü,e"",""wohnen"",""das Bad, -ä,er""]","{""correct_option_index"":0}","wohnen","sinh sống, ở","wohnen","AUTO_FIX","HIGH","Word ""wohnen"" found in options. Can standardize answer schema."
"43c1c225f1bf80fc9076c493","2a328956470e73b6e0f6fb1a","69cf8a5254ac00d7f74588fd","Từ tiếng Đức nào có nghĩa là “nhà tắm”?","[""wohnen"",""die Tür, -en"",""das Bad, -ä,er"",""das Haus""]","{""correct_option"":""das Bad, -ä,er"",""explanation"":""das Bad, -ä,er = nhà tắm""}","das Bad, -ä,er","nhà tắm","das Bad, -ä,er","VALID","HIGH","Already adheres to canonical schema"
"63b06c95c495a635feb2b6fd","2a328956470e73b6e0f6fb1a","69cf8a5254ac00d7f7458908","Từ tiếng Đức nào có nghĩa là “cửa”?","[""der Stuhl, -ü,e"",""die Tür, -en"",""wohnen"",""das Bad, -ä,er""]","{""correct_option"":""die Tür, -en"",""explanation"":""die Tür, -en = cửa""}","die Tür, -en","cửa","die Tür, -en","VALID","HIGH","Already adheres to canonical schema"
"039834e0e0fa9587be4e0061","a476be25bb771bfa0e3f712b","69cf8a5254ac00d7f7458677","Từ tiếng Đức nào có nghĩa là “Phòng”?","[""das Bad, -ä,er"",""die Tür, -en"",""der Stuhl, -ü,e"",""das Zimmer""]","{""correct_option"":""das Zimmer"",""explanation"":""das Zimmer = Phòng""}","das Zimmer","Phòng","das Zimmer","VALID","HIGH","Already adheres to canonical schema"
"1b1bab45140a6d767a40d6cd","a476be25bb771bfa0e3f712b","69cf8a5254ac00d7f745868c","Từ tiếng Đức nào có nghĩa là “Ngôi nhà”?","[""der Stuhl, -ü,e"",""das Einzelzimmer, -"",""das Haus"",""die Tür, -en""]","{""correct_option"":""das Haus"",""explanation"":""das Haus = Ngôi nhà""}","das Haus","Ngôi nhà","das Haus","VALID","HIGH","Already adheres to canonical schema"
"03cfbe3b94796ff1e8b64653","3daf85d57c31eabd57105871","69cf8a5254ac00d7f7458612","Từ tiếng Đức nào có nghĩa là “Sở thích”?","[""das Hobby"",""der Fußball"",""spielen"",""das Kino""]","{""correct_option"":""das Hobby"",""explanation"":""das Hobby = Sở thích""}","das Hobby","Sở thích","das Hobby","VALID","HIGH","Already adheres to canonical schema"
"27c16f5957566861759ea65a","a16ccc1734a8ce914982f72a","69cf8a5254ac00d7f7458624","Từ tiếng Đức nào có nghĩa là “chụp ảnh”?","[""der Fußball"",""spielen"",""fotografieren"",""das Hobby""]","{""correct_option"":""fotografieren"",""explanation"":""fotografieren = chụp ảnh""}","fotografieren","chụp ảnh","fotografieren","VALID","HIGH","Already adheres to canonical schema"
"fb1cd8c97d13994755005a81","a16ccc1734a8ce914982f72a","69cf8a5254ac00d7f7458629","Từ tiếng Đức nào có nghĩa là “nhảy”?","[""das Kino"",""fotografieren"",""das Foto"",""tanzen""]","{""correct_option"":""tanzen"",""explanation"":""tanzen = nhảy""}","tanzen","nhảy","tanzen","VALID","HIGH","Already adheres to canonical schema"
"8b8f15f7195656d31ae39649","2aafab54818ed4d128da463c","69cf8a5254ac00d7f74585fc","Từ tiếng Đức nào có nghĩa là “đọc”?","[""spielen"",""lesen"",""das Hobby"",""der Fußball""]","{""correct_option"":""lesen"",""explanation"":""lesen = đọc""}","lesen","đọc","lesen","VALID","HIGH","Already adheres to canonical schema"
